20:26:11: GetMCHelp:234-244 
20:26:10: 牧场小手
20:25:43: GetMCXunBaoHome:312-275 
20:25:42: MCSpriteBag:235-242 
20:25:41: MCGetSpritePKHome:281-265 
20:25:41: MCGetSprite:281-280 
20:25:40: MCSpriteRank:359-311 
20:25:39: BirdBag:344-319 
20:25:38: GetTreeHome:219-244 
20:25:37: GetMyHigh:234-236 
20:25:35: 在 【屋里凡凡3号】 的牧场 收集便便×1 金币+30
20:25:35: ClearDejecta:281-270 
20:25:35: 在 【屋里凡凡3号】 的牧场 收集便便×1 金币+30
20:25:35: ClearDejecta:250-307 
20:25:34: 在 【屋里凡凡3号】 的牧场 收集便便×1 金币+30
20:25:34: ClearDejecta:266-261 
20:25:33: GetMyPasture:359-327 20:25:33
20:25:32: 自动校验服务器时间
20:22:08: GetMyPasture:344-329 20:22:09
20:11:10: 在 【六两】 的牧场 打蚊子×3 经验+9
20:11:10: KillMosquito:六两:266-302 
20:11:10: 在 【六两】 的牧场 打蚊子×3 经验+9
20:11:10: KillMosquito:六两:265-338 
20:11:08: GetMyPasture:六两:375-411 20:11:08
20:11:07: GetMCHelp:562-447 
20:11:07: 牧场小手
20:09:04: GetMyPasture:13750-399 20:09:04
20:09:04: GetMyPasture:￣玩笑い而已:13750-399 20:09:04
20:09:02: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=2051571645--
20:09:02: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=2051571645--
20:09:02: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=2051571645--
20:08:50: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=2051571645--
20:08:50: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=2051571645--
20:08:50: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=2051571645--
20:08:50: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=2051571645--
20:08:50: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=2051571645--
