20:26:29: 自动让小蜜蜂×1 去采蜜
20:26:29: NCHiveWork:235-254 
20:26:28: 自动用花粉喂养蜜蜂,缩短20分钟 花粉-1
20:26:28: NCHiveFeed:265-273 
20:26:27: 在蜂巢收获 [蜂蜜]×1
20:26:27: NCHiveHarvest:313-282 
20:26:05: GetHelp:282-271 
20:26:05: 农场小手
20:25:59: NCOrderHome:250-261 
20:25:58: 刷新 [固定订单] 成功
20:25:58: NCOrderCancel:250-273 
20:25:52: NCXTHome:328-296 
20:25:51: NCJZMyJoin:266-265 
20:25:50: NCJZHome:266-265 
20:25:50: 在小摊2号货架出售[弹簧草]×40 金币+100000
20:25:50: NCXTHarvest:265-264 
20:25:49: 在小摊1号货架出售[弹簧草]×40 金币+100000
20:25:49: NCXTHarvest:266-263 
20:25:48: NCJZMyJoin:250-260 
20:25:47: NCJZHome:297-271 
20:25:46: NCNewLandHome:250-245 
20:25:46: NCXTHome:234-241 
20:25:45: {"code":0,"direction":"加工坊开启需农场等级达到56级及评级系统为省级以上","ecode":-109} farmTime=1563279945,farmKey=78417caca1f2b81cad0b7fbff0097329,farmKey2=99bd24ac4a7b0aa0891527694361afd6,uIdx=2937780336,uinY=2937059067,ownerId=2937780336,uinX=2937059067,uid=2937780336
20:25:45: NCWorkHome:234-249 
20:25:43: NCHiveHome:266-265 
20:25:42: NCGetWish:203-218 
20:25:42: NCFuseHome:203-232 
20:25:40: NCGetWish:邓紫棋正版男友！:234-260 
20:25:40: GetMyFarm:邓紫棋正版男友！:297-323 20:25:40
20:25:39: 总计好友：6个
20:25:39: 读取校友好友：0个（校友已关停，无法读取）
20:25:39: 读取空间好友：6个
20:25:39: GetFriend:234-308 
20:25:38: NCMPHome:609-265 
20:25:38: 刷新好友列表信息
20:25:38: 同意好友添加请求：QQ:209506426
20:25:38: NCAcceptFri:297-265 
20:25:37: NCQTShopHome:266-275 
20:25:36: NCQTOrderHome:266-258 
20:25:35: NCFishPiece:250-250 
20:25:35: NCQTHome:250-251 
20:25:34: NCGetBound:235-242 
20:25:34: MyFish:235-249 
20:25:34: NCOrderHome:235-263 
20:25:33: GetMyFarm:265-276 20:25:33
20:25:33: NCInvitList:250-288 
20:25:32: 自动校验服务器时间
20:20:04: GetMyFarm:281-308 20:20:04
20:11:06: GetHelp:250-280 
20:11:06: 农场小手
20:09:04: GetMyFarm:12547-308 20:09:04
20:09:03: 4超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=1094055697--
20:09:02: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=1094055697--
20:08:51: GetMyFarm:2031-308 
20:08:50: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=1094055697--
20:08:50: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=1094055697--
20:08:50: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=1094055697--
20:08:49: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=1094055697--
20:08:49: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=1094055697--
20:08:49: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_enter?g_tk=1094055697--
20:08:49: 牧场发包错误屋里凡凡2号
20:08:49: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=1094055697--
20:08:48: GetMyFarm:2031-308 
20:08:48: 4超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=1094055697--
20:08:48: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=1094055697--
20:08:48: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=1094055697--
20:08:47: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=1094055697--
20:08:47: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=1094055697--
20:08:47: 2超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=1094055697--
20:08:47: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=1094055697--
20:08:46: 1超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=1094055697--
20:08:46: 4超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=1094055697--
20:08:46: GetMyFarm:2094-308 
20:08:46: 3超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=1094055697--
20:08:46: 4超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=1094055697--
20:08:45: 2超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=1094055697--
20:08:45: 3超时URL[-1]:http://nc.qzone.qq.com/cgi-bin/cgi_farm_index?mod=user&act=run&g_tk=1094055697--
20:08:45: 1超时URL[-1]:http://mc.qzone.qq.com/cgi-bin/cgi_up_task?g_tk=1094055697--
